t	v
t	x	v	a
1.25E-01	0.00E+00	0	0
2.49E-01	2.23E-03	0.01785386	1.43E-01
3.74E-01	6.52E-03	0.034475255	1.33E-01
4.99E-01	1.47E-02	0.06577514	2.51E-01
6.23E-01	2.60E-02	0.090354077	1.97E-01
7.48E-01	3.79E-02	0.095385713	4.04E-02
8.72E-01	4.90E-02	0.089666704	4.58E-02
9.97E-01	6.13E-02	0.098058439	6.73E-02
1.12E+00	7.37E-02	0.099891342	1.47E-02
1.25E+00	8.66E-02	0.103474112	2.87E-02
1.37E+00	1.00E-01	0.108216379	3.81E-02
1.50E+00	1.15E-01	0.118125907	7.95E-02
1.62E+00	1.30E-01	0.123618417	4.40E-02
1.74E+00	1.46E-01	0.130226787	5.31E-02
1.87E+00	1.62E-01	0.126366559	3.10E-02
1.99E+00	1.78E-01	0.125461909	7.25E-03
2.12E+00	1.94E-01	0.126558359	8.81E-03
2.24E+00	2.09E-01	0.123817976	2.20E-02
2.37E+00	2.25E-01	0.129113711	4.25E-02
2.49E+00	2.41E-01	0.129113711	0.00E+00
2.62E+00	2.58E-01	0.131049177	1.55E-02
2.74E+00	2.74E-01	0.133728755	2.15E-02
